"name","result.year","result.code","result.category"
"Paryphanta busbyi","1994","R","Rare"
"Paryphanta busbyi","1990","V","Vulnerable"
"Paryphanta busbyi","1988","V","Vulnerable"
"Paryphanta busbyi","1986","V","Vulnerable"
"Pellegriniodendron diphyllum","1998","LR/nt","Lower Risk/near threatened"
"Pellegriniodendron diphyllum","1998","V","Vulnerable"
"Peperomia thomeana","2000","LR/nt","Lower Risk/near threatened"
"Perrottetia multiflora","1998","LR/nt","Lower Risk/near threatened"
"Perrottetia multiflora","1998","V","Vulnerable"
"Persea lingue","1998","LR/nt","Lower Risk/near threatened"
"Persea lingue","1998","R","Rare"
"Phaeanthus malabaricus","1998","LR/nt","Lower Risk/near threatened"
"Phaeanthus malabaricus","1998","V","Vulnerable"
"Phengaris arion","1996","LR/nt","Lower Risk/near threatened"
"Phengaris arion","1994","E","Endangered"
"Phengaris arion","1990","V","Vulnerable"
"Phengaris arion","1988","V","Vulnerable"
"Phengaris arion","1986","V","Vulnerable"
"Phengaris arion","1983","V","Vulnerable"
"Phengaris arionides","1996","LR/nt","Lower Risk/near threatened"
"Phengaris arionides","1994","V","Vulnerable"
"Phengaris arionides","1990","V","Vulnerable"
"Phengaris arionides","1988","V","Vulnerable"
"Phengaris arionides","1986","V","Vulnerable"
"Phengaris arionides","1983","V","Vulnerable"
"Phengaris nausithous","1996","LR/nt","Lower Risk/near threatened"
"Phengaris nausithous","1994","E","Endangered"
"Phengaris nausithous","1990","E","Endangered"
"Phengaris nausithous","1988","E","Endangered"
"Phengaris nausithous","1986","E","Endangered"
"Phengaris nausithous","1983","E","Endangered"
"Phengaris teleius","1996","LR/nt","Lower Risk/near threatened"
"Phengaris teleius","1994","E","Endangered"
"Phengaris teleius","1990","E","Endangered"
"Phengaris teleius","1988","E","Endangered"
"Phengaris teleius","1986","E","Endangered"
"Phengaris teleius","1983","V","Vulnerable"
"Phoebe bournei","1998","LR/nt","Lower Risk/near threatened"
"Phoebe bournei","1998","V","Vulnerable"
"Phoenix rupicola","1998","LR/nt","Lower Risk/near threatened"
"Phoxinellus zeregi","1996","LR/nt","Lower Risk/near threatened"
"Phyllanthus arbuscula","1998","LR/nt","Lower Risk/near threatened"
"Phyllanthus arbuscula","1998","R","Rare"
"Phyllanthus cladanthus","1998","LR/nt","Lower Risk/near threatened"
"Phyllanthus cladanthus","1998","V","Vulnerable"
"Phyllanthus latifolius","1998","LR/nt","Lower Risk/near threatened"
"Phyllanthus latifolius","1998","R","Rare"
"Phyllanthus montanus","1998","LR/nt","Lower Risk/near threatened"
"Phyllanthus montanus","1998","R","Rare"
"Physokentia tete","1998","LR/nt","Lower Risk/near threatened"
"Pillomena aemula","1996","LR/nt","Lower Risk/near threatened"
"Pillomena aemula","1994","R","Rare"
"Pimenta jamaicensis","1998","LR/nt","Lower Risk/near threatened"
"Pimenta jamaicensis","1998","R","Rare"
"Piper cordulatum","1998","LR/nt","Lower Risk/near threatened"
"Piper cordulatum","1998","V","Vulnerable"
"Piper fimbriulatum","1998","LR/nt","Lower Risk/near threatened"
"Piper lucigaudens","1998","LR/nt","Lower Risk/near threatened"
"Piper lucigaudens","1998","V","Vulnerable"
"Piper verrucosum","1998","LR/nt","Lower Risk/near threatened"
"Piper verrucosum","1998","R","Rare"
"Pistacia aethiopica","1998","LR/nt","Lower Risk/near threatened"
"Pittosporum obcordatum","1998","LR/nt","Lower Risk/near threatened"
"Pittosporum obcordatum","1998","R","Rare"
"Pittosporum virgatum","1998","LR/nt","Lower Risk/near threatened"
"Pittosporum virgatum","1998","nt","Not Threatened"
"Plagiosiphon gabonensis","1998","LR/nt","Lower Risk/near threatened"
"Plagiosiphon gabonensis","1998","R","Rare"
"Pleurobema cordatum","1996","LR/nt","Lower Risk/near threatened"
"Pleurobema riddellii","1996","LR/nt","Lower Risk/near threatened"
"Pleurobema rubrum","1996","LR/nt","Lower Risk/near threatened"
"Pleurobema rubrum","1994","I","Indeterminate"
"Pleurobema rubrum","1990","I","Indeterminate"
"Pleurobema rubrum","1988","I","Indeterminate"
"Pleurobema rubrum","1986","I","Indeterminate"
"Pleuroxia italowiana","1996","LR/nt","Lower Risk/near threatened"
"Pleuroxia italowiana","1994","R","Rare"
"Plicatoperipatus jamaicensis","1996","LR/nt","Lower Risk/near threatened"
"Plicatoperipatus jamaicensis","1994","R","Rare"
"Poecilmitis aureus","1996","LR/nt","Lower Risk/near threatened"
"Poecilmitis aureus","1994","R","Rare"
"Poecilmitis aureus","1990","I","Indeterminate"
"Poecilmitis aureus","1988","I","Indeterminate"
"Poecilmitis aureus","1986","I","Indeterminate"
"Polygyra hippocrepis","1996","LR/nt","Lower Risk/near threatened"
"Polygyra hippocrepis","1994","I","Indeterminate"
"Polygyra hippocrepis","1990","I","Indeterminate"
"Polygyra hippocrepis","1988","I","Indeterminate"
"Polygyra hippocrepis","1986","I","Indeterminate"
"Polygyra peregrina","2000","LR/nt","Lower Risk/near threatened"
"Polygyra peregrina","1996","LR/nt","Lower Risk/near threatened"
"Polygyra peregrina","1994","I","Indeterminate"
"Polygyra peregrina","1990","I","Indeterminate"
"Polygyra peregrina","1988","I","Indeterminate"
"Polygyra peregrina","1986","I","Indeterminate"
"Polylepis tarapacana","1998","LR/nt","Lower Risk/near threatened"
"Polyscias farinosa","1998","LR/nt","Lower Risk/near threatened"
"Polyscias farinosa","1998","R","Rare"
"Polyscias sandwicensis","1998","LR/nt","Lower Risk/near threatened"
"Polyscias sandwicensis","1998","R","Rare"
"Pomaderris hamiltonii","1998","LR/nt","Lower Risk/near threatened"
"Pomaderris hamiltonii","1998","R","Rare"
"Portlandia grandiflora","1998","LR/nt","Lower Risk/near threatened"
"Portlandia grandiflora","1998","R","Rare"
"Posorites turneri","1996","LR/nt","Lower Risk/near threatened"
"Posorites turneri","1994","R","Rare"
"Potamopyrgus oscitans","1996","LR/nt","Lower Risk/near threatened"
"Potamopyrgus oscitans","1994","V","Vulnerable"
"Pouteria anteridata","1998","LR/nt","Lower Risk/near threatened"
"Pouteria anteridata","1998","R","Rare"
"Pouteria atabapoensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria atabapoensis","1998","R","Rare"
"Pouteria buenaventurensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria canaimaensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria canaimaensis","1998","V","Vulnerable"
"Pouteria cicatricata","1998","LR/nt","Lower Risk/near threatened"
"Pouteria cicatricata","1998","R","Rare"
"Pouteria gabrielensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria gabrielensis","1998","R","Rare"
"Pouteria grandiflora","1998","LR/nt","Lower Risk/near threatened"
"Pouteria grandiflora","1998","R","Rare"
"Pouteria izabalensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria maguirei","1998","LR/nt","Lower Risk/near threatened"
"Pouteria maguirei","1998","R","Rare"
"Pouteria pimichinensis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria pimichinensis","1998","R","Rare"
"Pouteria platyphylla","1998","LR/nt","Lower Risk/near threatened"
"Pouteria platyphylla","1998","R","Rare"
"Pouteria rigidopsis","1998","LR/nt","Lower Risk/near threatened"
"Pouteria rigidopsis","1998","R","Rare"
"Pouteria rodriguesiana","1998","LR/nt","Lower Risk/near threatened"
"Pouteria rodriguesiana","1998","R","Rare"
"Pouteria sclerocarpa","1998","LR/nt","Lower Risk/near threatened"
"Pouteria splendens","1998","LR/nt","Lower Risk/near threatened"
"Pouteria splendens","1998","V","Vulnerable"
"Pouteria tarapotensis","1998","LR/nt","Lower Risk/near threatened"
"Powelliphanta marchantii","1996","LR/nt","Lower Risk/near threatened"
"Pradosia atroviolacea","1998","LR/nt","Lower Risk/near threatened"
"Pradosia atroviolacea","1998","R","Rare"
"Prestoea tenuiramosa","1998","LR/nt","Lower Risk/near threatened"
"Prosopis alba","1998","LR/nt","Lower Risk/near threatened"
"Protea comptonii","1998","LR/nt","Lower Risk/near threatened"
"Protea comptonii","1998","R","Rare"
