"name","before","after","N/G","year","state1","state2","result.year"
"Ramphastos ambiguus","LC","VU","G","2012.1",1,3,2012
"Rhegmatorhina gymnops","LC","VU","G","2012.1",1,3,2012
"Rhegmatorhina hoffmannsi","LC","NT","G","2012.1",1,2,2012
"Rukia ruki","CR","EN","N","2012.1",5,4,2012
"Sclerurus albigularis","LC","NT","G","2012.1",1,2,2012
"Sericossypha albocristata","LC","VU","G","2012.1",1,3,2012
"Simoxenops striatus","NT","LC","N","2012.1",2,1,2012
"Snowornis subalaris","LC","NT","G","2012.1",1,2,2012
"Spizaetus ornatus","LC","NT","G","2012.1",1,2,2012
"Stachyris nonggangensis","NT","VU","N","2012.1",2,3,2012
"Stagonopleura guttata","NT","LC","N","2012.1",2,1,2012
"Stephanoaetus coronatus","LC","NT","N","2012.1",1,2,2012
"Sterna acuticauda","NT","EN","G","2012.1",2,4,2012
"Sterna aurantia","LC","NT","N","2012.1",1,2,2012
"Synallaxis cabanisi","LC","NT","G","2012.1",1,2,2012
"Synallaxis kollari","EN","CR","G","2012.1",4,5,2012
"Synallaxis maranonica","VU","CR","G","2012.1",3,5,2012
"Synallaxis moesta","LC","NT","G","2012.1",1,2,2012
"Tachyeres leucocephalus","NT","VU","N","2012.1",2,3,2012
"Tangara argyrofenges","LC","VU","G","2012.1",1,3,2012
"Thamnophilus cryptoleucus","LC","NT","G","2012.1",1,2,2012
"Thamnophilus nigrocinereus","LC","NT","G","2012.1",1,2,2012
"Thamnophilus tenuepunctatus","LC","VU","G","2012.1",1,3,2012
"Thinornis rubricollis","NT","VU","G","2012.1",2,3,2012
"Tinamus guttatus","LC","NT","G","2012.1",1,2,2012
"Tinamus major","LC","NT","G","2012.1",1,2,2012
"Tinamus tao","LC","VU","G","2012.1",1,3,2012
"Touit huetii","LC","VU","G","2012.1",1,3,2012
"Turnix castanotus","NT","LC","N","2012.1",2,1,2012
"Turnix melanogaster","VU","NT","N","2012.1",3,2,2012
"Vanellus duvaucelii","LC","NT","N","2012.1",1,2,2012
