"name","result.year","state","TSFO","change.status"
"Acanthorhynchus tenuirostris",1994,1,0,"U"
"Acanthorhynchus tenuirostris",2000,1,6,"U"
"Acanthorhynchus tenuirostris",2004,1,10,"U"
"Acanthorhynchus tenuirostris",2008,1,14,"U"
"Acanthorhynchus tenuirostris",2009,1,15,"U"
"Acanthorhynchus tenuirostris",2012,1,18,"U"
"Acanthorhynchus tenuirostris",2016,1,22,"U"
"Acanthornis magna",1994,1,0,"U"
"Acanthornis magna",2000,1,6,"U"
"Acanthornis magna",2004,1,10,"U"
"Acanthornis magna",2008,1,14,"U"
"Acanthornis magna",2009,1,15,"U"
"Acanthornis magna",2012,1,18,"U"
"Acanthornis magna",2016,1,22,"U"
"Acanthornis magna",2017,1,23,"U"
"Acanthurus gahhm",2010,0,0,"U"
"Acanthurus gahhm",2012,1,2,"N"
"Acantopsis spectabilis",2011,0,0,"U"
"Acantopsis spectabilis",2012,0,1,"U"
"Accipiter albogularis",1994,1,0,"U"
"Accipiter albogularis",2000,1,6,"U"
"Accipiter albogularis",2004,1,10,"U"
"Accipiter albogularis",2008,1,14,"U"
"Accipiter albogularis",2009,1,15,"U"
"Accipiter albogularis",2012,1,18,"U"
"Accipiter albogularis",2016,1,22,"U"
"Accipiter badius",1994,1,0,"U"
"Accipiter badius",2000,1,6,"U"
"Accipiter badius",2004,1,10,"U"
"Accipiter badius",2008,1,14,"U"
"Accipiter badius",2009,1,15,"U"
"Accipiter badius",2012,1,18,"U"
"Accipiter badius",2015,1,21,"U"
"Accipiter badius",2016,1,22,"U"
"Accipiter bicolor",1994,1,0,"U"
"Accipiter bicolor",2000,1,6,"U"
"Accipiter bicolor",2004,1,10,"U"
"Accipiter bicolor",2008,1,14,"U"
"Accipiter bicolor",2009,1,15,"U"
"Accipiter bicolor",2012,1,18,"U"
"Accipiter bicolor",2016,1,22,"U"
"Accipiter brachyurus",1994,3,0,"U"
"Accipiter brachyurus",1996,3,2,"U"
"Accipiter brachyurus",2000,3,6,"U"
"Accipiter brachyurus",2004,3,10,"U"
"Accipiter brachyurus",2008,3,14,"U"
"Accipiter brachyurus",2012,3,18,"U"
"Accipiter brachyurus",2016,3,22,"U"
"Accipiter brevipes",1994,1,0,"U"
"Accipiter brevipes",2000,1,6,"U"
"Accipiter brevipes",2004,1,10,"U"
"Accipiter brevipes",2008,1,14,"U"
"Accipiter brevipes",2009,1,15,"U"
"Accipiter brevipes",2012,1,18,"U"
"Accipiter brevipes",2013,1,19,"U"
"Accipiter brevipes",2015,1,21,"U"
"Accipiter brevipes",2016,1,22,"U"
"Accipiter butleri",1994,2,0,"U"
"Accipiter butleri",2000,2,6,"U"
"Accipiter butleri",2002,3,8,"U"
"Accipiter butleri",2004,3,10,"U"
"Accipiter butleri",2008,3,14,"U"
"Accipiter butleri",2012,3,18,"U"
"Accipiter butleri",2016,3,22,"U"
"Accipiter castanilius",1994,1,0,"U"
"Accipiter castanilius",2000,1,6,"U"
"Accipiter castanilius",2004,1,10,"U"
"Accipiter castanilius",2008,1,14,"U"
"Accipiter castanilius",2009,1,15,"U"
"Accipiter castanilius",2012,1,18,"U"
"Accipiter castanilius",2016,1,22,"U"
"Accipiter cirrocephalus",1994,1,0,"U"
"Accipiter cirrocephalus",2000,1,6,"U"
"Accipiter cirrocephalus",2004,1,10,"U"
"Accipiter cirrocephalus",2008,1,14,"U"
"Accipiter cirrocephalus",2009,1,15,"U"
"Accipiter cirrocephalus",2012,1,18,"U"
"Accipiter cirrocephalus",2016,1,22,"U"
"Accipiter collaris",1994,2,0,"U"
"Accipiter collaris",2000,2,6,"U"
"Accipiter collaris",2004,2,10,"U"
"Accipiter collaris",2008,2,14,"U"
"Accipiter collaris",2012,2,18,"U"
"Accipiter collaris",2016,2,22,"U"
"Accipiter cooperii",1994,1,0,"U"
"Accipiter cooperii",2000,1,6,"U"
"Accipiter cooperii",2004,1,10,"U"
"Accipiter cooperii",2008,1,14,"U"
"Accipiter cooperii",2009,1,15,"U"
"Accipiter cooperii",2012,1,18,"U"
"Accipiter cooperii",2016,1,22,"U"
"Accipiter erythrauchen",1994,1,0,"U"
"Accipiter erythrauchen",2000,1,6,"U"
"Accipiter erythrauchen",2004,1,10,"U"
"Accipiter erythrauchen",2008,1,14,"U"
"Accipiter erythrauchen",2009,1,15,"U"
"Accipiter erythrauchen",2012,1,18,"U"
"Accipiter erythrauchen",2014,2,20,"G"
"Accipiter erythrauchen",2016,2,22,"U"
"Accipiter erythropus",1994,1,0,"U"
"Accipiter erythropus",2000,1,6,"U"
"Accipiter erythropus",2004,1,10,"U"
"Accipiter erythropus",2008,1,14,"U"
"Accipiter erythropus",2009,1,15,"U"
"Accipiter erythropus",2012,1,18,"U"
"Accipiter erythropus",2016,1,22,"U"
"Accipiter fasciatus",1994,1,0,"U"
"Accipiter fasciatus",2000,1,6,"U"
"Accipiter fasciatus",2004,1,10,"U"
"Accipiter fasciatus",2008,1,14,"U"
"Accipiter fasciatus",2009,1,15,"U"
"Accipiter fasciatus",2012,1,18,"U"
"Accipiter fasciatus",2016,1,22,"U"
"Accipiter francesiae",1994,1,0,"U"
"Accipiter francesiae",2000,1,6,"U"
"Accipiter francesiae",2004,1,10,"U"
"Accipiter francesiae",2008,1,14,"U"
"Accipiter francesiae",2009,1,15,"U"
"Accipiter francesiae",2012,1,18,"U"
"Accipiter francesiae",2016,1,22,"U"
"Accipiter gentilis",1994,1,0,"U"
"Accipiter gentilis",2000,1,6,"U"
"Accipiter gentilis",2004,1,10,"U"
"Accipiter gentilis",2008,1,14,"U"
"Accipiter gentilis",2009,1,15,"U"
"Accipiter gentilis",2012,1,18,"U"
"Accipiter gentilis",2013,1,19,"U"
"Accipiter gentilis",2015,1,21,"U"
"Accipiter gentilis",2016,1,22,"U"
"Accipiter griseiceps",1994,1,0,"U"
"Accipiter griseiceps",2000,1,6,"U"
"Accipiter griseiceps",2004,1,10,"U"
"Accipiter griseiceps",2008,1,14,"U"
"Accipiter griseiceps",2009,1,15,"U"
"Accipiter griseiceps",2012,1,18,"U"
"Accipiter griseiceps",2016,1,22,"U"
"Accipiter gularis",1994,1,0,"U"
"Accipiter gularis",2000,1,6,"U"
"Accipiter gularis",2004,1,10,"U"
"Accipiter gularis",2008,1,14,"U"
"Accipiter gularis",2009,1,15,"U"
"Accipiter gularis",2012,1,18,"U"
"Accipiter gularis",2015,1,21,"U"
"Accipiter gularis",2016,1,22,"U"
"Accipiter gundlachi",1994,4,0,"U"
"Accipiter gundlachi",1996,4,2,"U"
"Accipiter gundlachi",2000,4,6,"U"
"Accipiter gundlachi",2004,4,10,"U"
"Accipiter gundlachi",2008,4,14,"U"
"Accipiter gundlachi",2012,4,18,"U"
"Accipiter gundlachi",2015,4,21,"U"
"Accipiter gundlachi",2016,4,22,"U"
"Accipiter gundlachi",2017,4,23,"U"
"Accipiter haplochrous",1994,1,0,"U"
"Accipiter haplochrous",2000,2,6,"U"
"Accipiter haplochrous",2004,2,10,"U"
"Accipiter haplochrous",2008,2,14,"U"
"Accipiter haplochrous",2012,2,18,"U"
"Accipiter haplochrous",2016,2,22,"U"
"Accipiter henicogrammus",1994,1,0,"U"
"Accipiter henicogrammus",2000,1,6,"U"
"Accipiter henicogrammus",2004,1,10,"U"
"Accipiter henicogrammus",2008,1,14,"U"
"Accipiter henicogrammus",2009,1,15,"U"
"Accipiter henicogrammus",2012,1,18,"U"
"Accipiter henicogrammus",2014,2,20,"N"
"Accipiter henicogrammus",2016,2,22,"U"
"Accipiter henstii",1994,2,0,"U"
"Accipiter henstii",2000,2,6,"U"
"Accipiter henstii",2004,2,10,"U"
