"name","result.year","result.code","result.category"
"Hypselobarbus thomassi","2011","CR","Critically Endangered"
"Hypselobarbus thomassi","2009","VU","Vulnerable"
"Hypselostoma elephas","2009","CR","Critically Endangered"
"Hypsiboas cymbalum","2004","CR","Critically Endangered"
"Hypsirhynchus ater","2016","CR","Critically Endangered"
"Hypsirhynchus ater","1996","CR","Critically Endangered"
"Hypsirhynchus ater","1994","E","Endangered"
"Hypsirhynchus melanichnus","2016","CR","Critically Endangered"
"Hyptis argutifolia","2004","CR","Critically Endangered"
"Hyptis diversifolia","2004","CR","Critically Endangered"
"Hyridella glenelgensis","2014","CR","Critically Endangered"
"Hystricella vermetiformis","2017","CR","Critically Endangered"
"Ialtris parishi","2016","CR","Critically Endangered"
"Ibalonius lomani","2014","CR","Critically Endangered"
"Iberochondrostoma almacai","2008","CR","Critically Endangered"
"Iberochondrostoma lusitanicus","2006","CR","Critically Endangered"
"Iberochondrostoma lusitanicus","1996","VU","Vulnerable"
"Iberochondrostoma lusitanicus","1994","R","Rare"
"Iberochondrostoma olisiponensis","2012","CR","Critically Endangered"
"Iberochondrostoma oretanum","2006","CR","Critically Endangered"
"Iberocypris palaciosi","1996","EN","Endangered"
"Iberocypris palaciosi","1994","K","Insufficiently Known"
"Iberolacerta martinezricai","2006","CR","Critically Endangered"
"Ichnusomunda sacchii","2000","VU","Vulnerable"
"Icterus northropi","2016","CR","Critically Endangered"
"Icterus northropi","2013","CR","Critically Endangered"
"Icterus northropi","2012","CR","Critically Endangered"
"Icterus northropi","2011","CR","Critically Endangered"
"Icterus northropi","2008","NR","Not Recognized"
"Icterus northropi","2004","NR","Not Recognized"
"Icterus northropi","2000","NR","Not Recognized"
"Icterus northropi","1994","NR","Not Recognized"
"Icterus northropi","1988","NR","Not Recognized"
"Idioctis intertidalis","2014","CR","Critically Endangered"
"Idiomela subplicata","1996","VU","Vulnerable"
"Idiomela subplicata","1994","V","Vulnerable"
"Idiomela subplicata","1983","V","Vulnerable"
"Idiostatus middlekaufi","1996","CR","Critically Endangered"
"Idiostatus middlekaufi","1994","I","Indeterminate"
"Idiostatus middlekaufi","1990","I","Indeterminate"
"Idiostatus middlekaufi","1988","I","Indeterminate"
"Idiostatus middlekaufi","1986","I","Indeterminate"
"Idunella sketi","1996","CR","Critically Endangered"
"Iglica gratulabunda","2010","CR","Critically Endangered"
"Iglica gratulabunda","1996","DD","Data Deficient"
"Iglica gratulabunda","1994","Ex?","Extinct?"
"Iglica soussensis","2010","CR","Critically Endangered"
"Ilex cookii","1998","CR","Critically Endangered"
"Ilex khasiana","1998","CR","Critically Endangered"
"Ilex khasiana","1998","E","Endangered"
"Ilex machilifolia","2004","CR","Critically Endangered"
"Ilex maclurei","2004","CR","Critically Endangered"
"Ilex perlata","2004","CR","Critically Endangered"
"Ilex reticulata","2004","CR","Critically Endangered"
"Ilex subtriflora","1998","CR","Critically Endangered"
"Ilex subtriflora","1998","I","Indeterminate"
"Ilex williamsii","1998","CR","Critically Endangered"
"Ilex williamsii","1998","V","Vulnerable"
"Ilyodon whitei","1996","CR","Critically Endangered"
"Impatiens adenioides","2012","CR","Critically Endangered"
"Impatiens angustisepala","2012","CR","Critically Endangered"
"Impatiens boinensis","2017","CR","Critically Endangered"
"Impatiens gordonii","2013","CR","Critically Endangered"
"Impatiens gordonii","1998","E","Endangered"
"Impatiens grandisepala","2014","CR","Critically Endangered"
"Impatiens grandisepala","2000","DD","Data Deficient"
"Incertihydrobia teesdalei","2010","CR","Critically Endangered"
"Incilius cristatus","2010","CR","Critically Endangered"
"Incilius cristatus","2004","CR","Critically Endangered"
"Incilius fastidiosus","2008","CR","Critically Endangered"
"Incilius fastidiosus","2004","CR","Critically Endangered"
"Incilius holdridgei","2012","CR","Critically Endangered"
"Incilius holdridgei","2004","EX","Extinct"
